id,month,region,main_category,sub_category,product_line,price_tier,units_sold,revenue_usd,online_sales_percentage,retail_price
88,July,South Korea,Equipment,Bags,Backpack,Budget,23385,6781650,57,290
89,April,Southeast Asia,Apparel,Performance,Compression Wear,Mid-Range,46124,5073640,76,110
90,August,South Korea,Equipment,Accessories,Hats,Premium,10225,2760750,88,270
91,January,Southeast Asia,Equipment,Bags,Backpack,Budget,26666,3199920,85,120
92,October,India,Apparel,Outerwear,Rain Jacket,Mid-Range,42110,3789900,78,90
93,August,Europe,Equipment,Accessories,Bags,Premium,21473,2147300,81,100
94,November,Japan,Equipment,Bags,Gym Sack,Premium,34384,8939840,87,260
95,October,America,Equipment,Accessories,Hats,Premium,43980,9235800,52,210
96,November,America,Apparel,Performance,Dri-FIT,Premium,28721,8329090,61,290
97,February,Greater China,Footwear,Running,Air Zoom,Mid-Range,37079,8528170,68,230
98,April,South Korea,Equipment,Accessories,Bags,Premium,45351,7256160,75,160
99,February,India,Equipment,Socks,Crew Socks,Premium,22676,1814080,62,80
100,April,Europe,Apparel,Outerwear,Rain Jacket,Budget,13858,2217280,81,160
101,January,India,Apparel,Outerwear,Rain Jacket,Mid-Range,40440,11727600,70,290
102,December,India,Apparel,Outerwear,Rain Jacket,Budget,46682,12604140,62,270
103,June,Greater China,Footwear,Running,Pegasus,Premium,33156,8289000,73,250
104,January,America,Footwear,Football,Mercurial,Budget,40417,5658380,73,140
105,February,South Korea,Equipment,Bags,Gym Sack,Mid-Range,9747,2924100,55,300
106,March,Japan,Apparel,Outerwear,Rain Jacket,Premium,24860,4723400,63,190
107,September,South Korea,Footwear,Running,React Infinity,Premium,16375,1637500,71,100
108,August,Japan,Footwear,Football,Mercurial,Budget,39856,5181280,90,130
109,February,Europe,Equipment,Socks,Performance Socks,Mid-Range,6899,1172830,75,170
110,October,Europe,Equipment,Socks,Performance Socks,Budget,49804,12949040,77,260
111,May,Greater China,Equipment,Socks,Performance Socks,Premium,13232,1852480,53,140
112,January,Europe,Equipment,Bags,Gym Sack,Budget,47604,4284360,78,90
113,July,India,Footwear,Running,Air Zoom,Budget,12692,2157640,56,170
114,March,Greater China,Equipment,Socks,Crew Socks,Budget,37071,10009170,57,270
115,May,Europe,Footwear,Basketball,KD Series,Premium,15114,3476220,60,230
116,February,Europe,Equipment,Accessories,Hats,Premium,34848,8363520,76,240
117,March,Greater China,Apparel,Performance,Dri-FIT,Mid-Range,42072,5890080,80,140
118,December,Greater China,Equipment,Socks,Performance Socks,Premium,5713,628430,82,110
119,December,America,Equipment,Bags,Gym Sack,Mid-Range,45569,11392250,55,250
120,July,South Korea,Equipment,Bags,Gym Sack,Mid-Range,30671,8587880,50,280
121,March,America,Footwear,Basketball,LeBron Series,Mid-Range,44415,3997350,81,90
122,January,Japan,Apparel,Performance,Dri-FIT,Mid-Range,24773,2229570,55,90
123,May,America,Footwear,Running,React Infinity,Mid-Range,26398,3167760,68,120
124,August,India,Footwear,Running,React Infinity,Mid-Range,16191,2428650,83,150
125,October,Southeast Asia,Equipment,Bags,Gym Sack,Budget,18808,4325840,52,230
126,May,India,Equipment,Accessories,Hats,Budget,11893,2497530,71,210
127,October,Southeast Asia,Equipment,Bags,Backpack,Mid-Range,12640,2022400,51,160
128,January,South Korea,Footwear,Football,Mercurial,Mid-Range,24233,2665630,82,110
129,January,Europe,Equipment,Accessories,Bags,Mid-Range,42458,5519540,81,130
130,February,America,Footwear,Cricket,Vapor Cricket,Premium,13064,1437040,83,110
131,May,South Korea,Equipment,Bags,Backpack,Premium,47626,2381300,66,50
132,June,South Korea,Apparel,Tops,Tech Fleece,Budget,39659,3965900,70,100
133,June,Greater China,Apparel,Performance,Dri-FIT,Premium,24222,6782160,51,280
134,December,India,Footwear,Lifestyle,Air Force 1,Mid-Range,28038,1401900,63,50
135,October,Greater China,Footwear,Basketball,Air Jordan,Budget,11147,2117930,56,190
136,January,Europe,Footwear,Football,Mercurial,Budget,40691,2848370,58,70
137,January,South Korea,Footwear,Running,Air Zoom,Budget,38622,8496840,78,220
138,September,Japan,Equipment,Socks,Performance Socks,Budget,41336,9507280,66,230
139,January,Southeast Asia,Apparel,Performance,Dri-FIT,Budget,42094,9681620,73,230
140,July,India,Footwear,Cricket,Vapor Cricket,Mid-Range,41898,12150420,53,290
141,March,Southeast Asia,Footwear,Cricket,Vapor Cricket,Mid-Range,5250,577500,88,110
142,February,America,Apparel,Outerwear,Windrunner,Premium,43953,9669660,81,220
143,July,India,Equipment,Bags,Backpack,Premium,46169,3693520,77,80
144,November,South Korea,Footwear,Lifestyle,Air Max,Premium,10605,848400,87,80
145,July,America,Apparel,Outerwear,Rain Jacket,Mid-Range,11907,833490,75,70
146,June,Europe,Apparel,Outerwear,Windrunner,Mid-Range,15114,2267100,73,150
147,June,South Korea,Equipment,Bags,Backpack,Budget,11346,2269200,64,200
148,May,America,Equipment,Bags,Gym Sack,Budget,39458,2367480,65,60
223,July,America,Equipment,Bags,Backpack,Budget,8291,663280,66,80
149,December,Europe,Footwear,Lifestyle,Air Force 1,Mid-Range,49565,9417350,90,190
150,September,India,Equipment,Bags,Backpack,Mid-Range,31768,2859120,58,90
151,June,America,Equipment,Socks,Performance Socks,Mid-Range,20285,3448450,77,170
152,August,America,Apparel,Tops,Tech Fleece,Premium,25560,4345200,59,170
153,January,South Korea,Equipment,Accessories,Hats,Premium,19197,959850,57,50
154,November,Greater China,Equipment,Accessories,Bags,Premium,42901,9867230,85,230
155,February,South Korea,Equipment,Bags,Gym Sack,Mid-Range,39676,11506040,69,290
156,September,South Korea,Footwear,Cricket,Vapor Cricket,Premium,29252,8190560,61,280
157,June,America,Apparel,Outerwear,Windrunner,Mid-Range,40284,8862480,56,220
158,October,South Korea,Footwear,Basketball,LeBron Series,Mid-Range,27232,1361600,60,50
159,May,Europe,Equipment,Accessories,Hats,Premium,27370,4105500,77,150
160,December,Greater China,Equipment,Accessories,Hats,Premium,44238,3539040,54,80
161,June,America,Apparel,Outerwear,Windrunner,Mid-Range,45591,13221390,69,290
162,September,Southeast Asia,Equipment,Bags,Gym Sack,Mid-Range,47338,3313660,50,70
163,December,Japan,Footwear,Basketball,KD Series,Premium,27680,8304000,68,300
164,August,South Korea,Footwear,Lifestyle,Air Force 1,Premium,5580,1339200,66,240
165,February,America,Equipment,Accessories,Hats,Premium,48811,5369210,83,110
166,November,Japan,Equipment,Accessories,Bags,Premium,30797,5235490,65,170
167,June,South Korea,Apparel,Outerwear,Windrunner,Budget,26283,3416790,53,130
168,April,South Korea,Apparel,Outerwear,Rain Jacket,Premium,29724,3566880,62,120
169,April,Japan,Footwear,Basketball,Air Jordan,Budget,44272,5312640,54,120
170,February,Japan,Equipment,Accessories,Bags,Premium,6131,1042270,76,170
171,September,Japan,Footwear,Running,React Infinity,Budget,37824,6808320,51,180
172,July,America,Apparel,Performance,Dri-FIT,Budget,16989,5096700,83,300
173,August,Greater China,Apparel,Performance,Dri-FIT,Budget,37151,7058690,70,190
174,December,South Korea,Apparel,Outerwear,Windrunner,Budget,15325,766250,70,50
175,September,Greater China,Equipment,Socks,Crew Socks,Budget,18610,1488800,83,80
176,April,Japan,Equipment,Accessories,Hats,Premium,20585,4117000,55,200
177,January,Greater China,Equipment,Accessories,Bags,Premium,26079,4433430,58,170
178,April,Japan,Apparel,Performance,Dri-FIT,Mid-Range,37618,9028320,59,240
179,December,India,Equipment,Socks,Crew Socks,Budget,13549,2845290,87,210
180,July,Southeast Asia,Equipment,Accessories,Hats,Budget,42383,8052770,90,190
181,January,Southeast Asia,Footwear,Cricket,Vapor Cricket,Premium,23146,6712340,85,290
182,May,Greater China,Footwear,Cricket,Vapor Cricket,Budget,8911,891100,60,100
183,February,Greater China,Footwear,Lifestyle,Blazer,Budget,46488,13481520,65,290
184,June,Greater China,Footwear,Cricket,Vapor Cricket,Premium,26073,6778980,89,260
185,July,Southeast Asia,Footwear,Running,Pegasus,Premium,40904,10226000,87,250
186,January,Greater China,Equipment,Bags,Backpack,Premium,10167,2033400,69,200
187,December,Greater China,Apparel,Outerwear,Rain Jacket,Budget,33222,3654420,56,110
188,July,Southeast Asia,Footwear,Basketball,Air Jordan,Budget,9495,854550,79,90
189,March,Greater China,Footwear,Lifestyle,Air Force 1,Budget,16995,2549250,78,150
190,May,Japan,Apparel,Performance,Compression Wear,Mid-Range,14474,3039540,71,210
191,January,Japan,Apparel,Tops,Tech Fleece,Mid-Range,47176,2830560,83,60
192,January,Europe,Equipment,Accessories,Bags,Mid-Range,21835,6550500,88,300
193,October,Europe,Apparel,Outerwear,Rain Jacket,Mid-Range,12825,1410750,78,110
194,October,Greater China,Footwear,Football,Mercurial,Mid-Range,21269,6168010,75,290
195,February,Greater China,Footwear,Football,Mercurial,Budget,20301,3654180,50,180
196,August,Europe,Apparel,Outerwear,Windrunner,Mid-Range,19216,1921600,54,100
197,May,Europe,Equipment,Bags,Gym Sack,Mid-Range,18456,2214720,82,120
198,December,Greater China,Footwear,Basketball,KD Series,Premium,34245,9931050,65,290
199,November,Greater China,Equipment,Socks,Crew Socks,Premium,30282,3633840,70,120
200,July,Greater China,Footwear,Running,Air Zoom,Premium,28660,2006200,80,70
201,May,Greater China,Apparel,Tops,Tech Fleece,Budget,6123,1775670,55,290
202,November,Europe,Equipment,Accessories,Bags,Premium,35528,5684480,68,160
203,May,India,Footwear,Basketball,LeBron Series,Mid-Range,45334,4080060,51,90
204,June,Japan,Apparel,Outerwear,Windrunner,Budget,22636,5885360,68,260
205,November,South Korea,Footwear,Lifestyle,Blazer,Budget,11440,2288000,88,200
206,December,India,Equipment,Bags,Backpack,Budget,24771,5697330,59,230
207,January,Greater China,Apparel,Tops,Tech Fleece,Premium,31290,1564500,87,50
208,September,Europe,Equipment,Bags,Backpack,Premium,30892,1544600,65,50
209,February,America,Footwear,Lifestyle,Air Max,Budget,6954,904020,74,130
210,November,Europe,Footwear,Cricket,Vapor Cricket,Budget,19555,977750,90,50
211,July,India,Footwear,Running,Air Zoom,Mid-Range,23503,4700600,76,200
212,May,Southeast Asia,Footwear,Running,React Infinity,Mid-Range,28850,1731000,87,60
213,January,Southeast Asia,Footwear,Football,Mercurial,Premium,32663,5226080,79,160
214,February,America,Footwear,Cricket,Vapor Cricket,Mid-Range,49549,14864700,75,300
215,June,America,Equipment,Socks,Crew Socks,Premium,45139,3159730,72,70
216,February,Europe,Footwear,Football,Phantom Vision,Budget,31673,2850570,74,90
217,October,Greater China,Equipment,Socks,Crew Socks,Premium,24125,1206250,69,50
218,September,Southeast Asia,Footwear,Lifestyle,Air Max,Premium,26971,6203330,64,230
219,May,Greater China,Equipment,Accessories,Hats,Budget,42633,5968620,52,140
220,January,Southeast Asia,Footwear,Running,Pegasus,Mid-Range,23653,5203660,89,220
221,June,South Korea,Apparel,Tops,Tech Fleece,Budget,32581,2280670,69,70
222,January,South Korea,Apparel,Performance,Compression Wear,Premium,44343,7538310,75,170
224,March,India,Footwear,Lifestyle,Air Max,Budget,24788,3718200,61,150
225,April,Greater China,Equipment,Accessories,Hats,Budget,41062,2874340,66,70
226,November,India,Equipment,Accessories,Hats,Budget,48229,13504120,62,280
227,October,Japan,Apparel,Performance,Compression Wear,Budget,25828,2582800,60,100
228,May,Greater China,Footwear,Running,Pegasus,Premium,47580,5709600,78,120
229,December,Southeast Asia,Footwear,Running,React Infinity,Mid-Range,48540,10193400,63,210
230,January,Greater China,Footwear,Lifestyle,Air Max,Budget,37975,2658250,53,70
231,November,Japan,Footwear,Lifestyle,Air Force 1,Budget,24267,5338740,58,220
232,September,Europe,Apparel,Performance,Dri-FIT,Premium,40029,2001450,71,50
233,June,Japan,Footwear,Football,Mercurial,Mid-Range,33407,4342910,70,130
234,September,Greater China,Equipment,Bags,Backpack,Premium,39670,3967000,90,100
235,July,India,Equipment,Accessories,Bags,Budget,8891,2044930,82,230
236,February,Southeast Asia,Footwear,Basketball,Air Jordan,Budget,39076,7424440,67,190
237,July,South Korea,Footwear,Lifestyle,Air Force 1,Mid-Range,23339,7001700,84,300
238,August,India,Equipment,Accessories,Hats,Budget,18192,5093760,74,280
239,December,Japan,Footwear,Football,Phantom Vision,Budget,18898,3968580,55,210
240,January,Europe,Apparel,Tops,Tech Fleece,Budget,6063,1455120,63,240
241,September,South Korea,Apparel,Tops,Tech Fleece,Budget,23137,3239180,54,140
242,May,Southeast Asia,Footwear,Cricket,Vapor Cricket,Mid-Range,24321,4134570,73,170
243,November,Greater China,Equipment,Bags,Gym Sack,Budget,49992,13997760,64,280
244,June,Japan,Equipment,Accessories,Bags,Mid-Range,40020,4002000,77,100
245,October,South Korea,Footwear,Football,Mercurial,Mid-Range,30270,1513500,85,50
246,September,America,Apparel,Performance,Compression Wear,Budget,20663,3719340,76,180
247,December,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,46062,9212400,75,200
248,May,India,Apparel,Tops,Therma-FIT,Mid-Range,28564,8283560,61,290
249,March,South Korea,Footwear,Lifestyle,Air Max,Budget,42786,9840780,79,230
250,December,America,Equipment,Accessories,Bags,Budget,23802,1428120,67,60
251,February,Japan,Apparel,Tops,Therma-FIT,Mid-Range,49553,7432950,52,150
252,February,Europe,Equipment,Socks,Crew Socks,Budget,16158,3070020,57,190
253,November,Greater China,Footwear,Running,React Infinity,Mid-Range,49696,12424000,68,250
254,December,Southeast Asia,Apparel,Outerwear,Windrunner,Premium,6257,938550,53,150
255,July,Greater China,Footwear,Running,Air Zoom,Mid-Range,8970,627900,69,70
256,April,Greater China,Apparel,Outerwear,Rain Jacket,Premium,43178,9499160,59,220
257,May,Greater China,Footwear,Lifestyle,Blazer,Budget,6327,316350,79,50
258,July,Southeast Asia,Footwear,Lifestyle,Air Force 1,Premium,5233,313980,55,60
259,May,South Korea,Equipment,Socks,Performance Socks,Premium,32171,9007880,75,280
260,February,India,Footwear,Football,Phantom Vision,Premium,20661,2479320,76,120
261,July,South Korea,Equipment,Bags,Gym Sack,Mid-Range,17561,1580490,54,90
262,December,Southeast Asia,Footwear,Basketball,KD Series,Mid-Range,46991,7988470,84,170
263,October,America,Equipment,Accessories,Bags,Premium,44384,2219200,73,50
264,January,Europe,Equipment,Bags,Gym Sack,Mid-Range,16104,4670160,81,290
265,October,South Korea,Equipment,Accessories,Hats,Mid-Range,9054,1810800,66,200
266,October,South Korea,Footwear,Football,Mercurial,Budget,30338,2730420,67,90
267,September,Japan,Apparel,Tops,Therma-FIT,Mid-Range,41932,9225040,85,220
268,February,Japan,Apparel,Performance,Compression Wear,Budget,31387,1883220,70,60
269,May,Greater China,Equipment,Socks,Performance Socks,Mid-Range,41568,4156800,80,100
270,June,Japan,Apparel,Performance,Dri-FIT,Mid-Range,14607,1898910,65,130
271,January,Greater China,Footwear,Cricket,Vapor Cricket,Premium,40801,7752190,81,190
272,October,India,Equipment,Accessories,Bags,Budget,6248,1437040,86,230
273,August,Europe,Equipment,Accessories,Hats,Mid-Range,24322,1702540,90,70
274,August,Southeast Asia,Apparel,Performance,Dri-FIT,Budget,22754,1592780,50,70
275,January,Southeast Asia,Equipment,Accessories,Bags,Budget,26422,6341280,75,240
276,November,India,Equipment,Socks,Crew Socks,Mid-Range,17729,4964120,90,280
277,April,Southeast Asia,Footwear,Cricket,Vapor Cricket,Premium,27108,7590240,56,280
278,April,America,Equipment,Socks,Performance Socks,Premium,10939,2406580,89,220
279,December,Japan,Apparel,Tops,Therma-FIT,Premium,5564,1613560,76,290
280,February,South Korea,Equipment,Accessories,Hats,Mid-Range,36239,2899120,57,80
281,February,Southeast Asia,Equipment,Accessories,Hats,Budget,12202,3660600,84,300
282,October,Japan,Apparel,Outerwear,Rain Jacket,Premium,42937,9875510,78,230
283,August,Southeast Asia,Equipment,Socks,Performance Socks,Budget,45014,9903080,73,220
284,August,America,Equipment,Bags,Gym Sack,Mid-Range,22727,4999940,70,220
285,May,Southeast Asia,Footwear,Basketball,LeBron Series,Premium,6052,605200,57,100
286,June,South Korea,Apparel,Tops,Tech Fleece,Mid-Range,36206,8689440,88,240
287,September,Japan,Equipment,Socks,Crew Socks,Budget,37822,9455500,55,250
288,January,South Korea,Footwear,Running,React Infinity,Mid-Range,21488,3867840,75,180
289,January,Greater China,Apparel,Performance,Dri-FIT,Mid-Range,42388,3814920,88,90
290,March,Europe,Apparel,Performance,Dri-FIT,Mid-Range,15005,4051350,65,270
291,June,Japan,Footwear,Football,Phantom Vision,Budget,26728,6949280,83,260
292,May,Europe,Apparel,Tops,Tech Fleece,Budget,39375,7875000,69,200
293,February,Europe,Equipment,Socks,Crew Socks,Mid-Range,10259,1949210,86,190
294,October,Europe,Apparel,Outerwear,Rain Jacket,Budget,43390,5206800,73,120
295,July,Southeast Asia,Apparel,Tops,Therma-FIT,Mid-Range,21699,1518930,75,70
296,November,Southeast Asia,Apparel,Performance,Dri-FIT,Mid-Range,41529,2491740,88,60
297,January,Europe,Footwear,Basketball,Air Jordan,Budget,48873,4887300,85,100
298,February,Japan,Apparel,Tops,Therma-FIT,Mid-Range,40890,8586900,67,210
299,April,Southeast Asia,Equipment,Accessories,Bags,Premium,11069,1549660,82,140
300,April,Southeast Asia,Apparel,Performance,Dri-FIT,Budget,14004,1400400,64,100
301,July,Japan,Apparel,Performance,Compression Wear,Budget,44925,9434250,86,210
302,July,America,Footwear,Cricket,Vapor Cricket,Mid-Range,31559,4102670,84,130
303,October,Japan,Footwear,Lifestyle,Blazer,Premium,30124,4518600,64,150
304,May,Southeast Asia,Apparel,Outerwear,Rain Jacket,Budget,42197,8861370,81,210
305,February,Greater China,Equipment,Socks,Performance Socks,Mid-Range,9846,1969200,65,200
306,July,Greater China,Apparel,Tops,Tech Fleece,Mid-Range,48881,6843340,54,140
307,March,South Korea,Equipment,Bags,Backpack,Budget,20261,3444370,71,170
308,November,America,Equipment,Socks,Performance Socks,Budget,10147,710290,64,70
309,March,Europe,Apparel,Tops,Tech Fleece,Mid-Range,39623,11886900,60,300
310,December,Europe,Equipment,Accessories,Bags,Premium,27059,6223570,76,230
311,April,Europe,Equipment,Accessories,Hats,Mid-Range,37570,10519600,68,280
312,September,India,Apparel,Performance,Compression Wear,Premium,11727,2110860,60,180
313,April,Japan,Footwear,Lifestyle,Air Force 1,Budget,27736,4160400,73,150
314,January,India,Apparel,Tops,Tech Fleece,Budget,10527,2947560,65,280
315,November,Japan,Apparel,Outerwear,Rain Jacket,Premium,44606,8475140,72,190
316,March,Southeast Asia,Apparel,Tops,Therma-FIT,Budget,21784,2396240,54,110
317,December,Japan,Footwear,Basketball,LeBron Series,Mid-Range,42082,5049840,72,120
318,June,South Korea,Equipment,Socks,Performance Socks,Mid-Range,36864,3317760,69,90
319,June,Japan,Equipment,Socks,Performance Socks,Premium,19496,3509280,83,180
320,July,India,Equipment,Socks,Crew Socks,Budget,31357,6584970,70,210
321,February,Japan,Apparel,Tops,Tech Fleece,Budget,7242,1375980,69,190
322,May,India,Footwear,Basketball,KD Series,Budget,30014,6002800,74,200
323,May,America,Equipment,Accessories,Hats,Premium,40125,12037500,89,300
324,February,India,Apparel,Tops,Tech Fleece,Mid-Range,43169,2590140,88,60
325,July,Southeast Asia,Apparel,Performance,Compression Wear,Mid-Range,35304,5648640,86,160
326,August,America,Footwear,Running,React Infinity,Budget,22851,3199140,50,140
327,November,South Korea,Equipment,Socks,Crew Socks,Premium,37209,5953440,57,160
328,July,Europe,Apparel,Outerwear,Rain Jacket,Premium,44025,4842750,83,110
329,March,India,Footwear,Basketball,KD Series,Budget,6731,403860,85,60
330,April,Japan,Equipment,Bags,Gym Sack,Budget,45787,5952310,73,130
331,March,Europe,Apparel,Performance,Compression Wear,Premium,17179,4638330,78,270
332,June,Europe,Equipment,Bags,Backpack,Budget,28407,1988490,71,70
333,July,Japan,Footwear,Basketball,LeBron Series,Premium,23375,5610000,64,240
334,February,Japan,Footwear,Running,React Infinity,Premium,39495,7504050,53,190
335,June,America,Equipment,Accessories,Bags,Mid-Range,11095,1886150,55,170
336,August,Greater China,Apparel,Performance,Dri-FIT,Budget,7317,585360,87,80
337,May,Greater China,Apparel,Tops,Tech Fleece,Premium,6153,676830,70,110
338,September,South Korea,Equipment,Accessories,Hats,Budget,25161,4277370,73,170
339,September,Europe,Apparel,Performance,Dri-FIT,Premium,24247,1212350,60,50
340,July,Japan,Footwear,Lifestyle,Air Force 1,Premium,32062,4809300,52,150
341,December,Greater China,Equipment,Accessories,Bags,Mid-Range,5748,287400,77,50
342,July,America,Equipment,Accessories,Hats,Premium,35610,8190300,82,230
343,February,India,Apparel,Tops,Tech Fleece,Premium,39308,10613160,82,270
344,March,America,Apparel,Performance,Compression Wear,Mid-Range,14492,724600,85,50
